# Time-averaged data for fix myat1
# TimeStep v_Toutput
7010000 1225.34
7020000 1226.66
7030000 1224.42
7040000 1216.38
7050000 1217.28
7060000 1214.88
7070000 1209.56
7080000 1204.7
7090000 1205.02
7100000 1201.11
7110000 1197.54
7120000 1190.15
7130000 1189.91
7140000 1192.16
7150000 1187.09
7160000 1181.65
7170000 1180.26
7180000 1175.61
7190000 1175.65
7200000 1168.94
7210000 1165.41
7220000 1165.46
7230000 1162.2
7240000 1156.2
7250000 1152.1
7260000 1151.59
7270000 1149.97
7280000 1149.95
7290000 1147.29
7300000 1146.52
7310000 1140.45
7320000 1137.56
7330000 1133.94
7340000 1130.06
7350000 1126.27
7360000 1122.84
7370000 1119.22
7380000 1114.32
7390000 1112.78
7400000 1112.08
7410000 1104.15
7420000 1104.82
7430000 1100.63
7440000 1092.91
7450000 1099.9
7460000 1092.02
7470000 1089.27
7480000 1085.79
7490000 1085.66
7500000 1079.42
7510000 1080.21
7520000 1072.71
7530000 1073.88
7540000 1069.69
7550000 1065.11
7560000 1061.19
7570000 1060.69
7580000 1057.64
7590000 1053.87
7600000 1049.37
7610000 1046.96
7620000 1043.09
7630000 1042.65
7640000 1037.55
7650000 1035.73
7660000 1035.1
7670000 1031.17
7680000 1024.96
7690000 1022.69
7700000 1021.68
7710000 1018.69
7720000 1014.81
7730000 1010.3
7740000 1013.9
7750000 1005.64
7760000 1001.12
7770000 998.818
7780000 997.758
7790000 992.351
7800000 993.617
7810000 985.506
7820000 985.744
7830000 983.191
7840000 977.671
7850000 975.574
7860000 974.277
7870000 968.197
7880000 969.273
7890000 962.519
7900000 962.721
7910000 955.944
7920000 958.108
7930000 952.075
7940000 950.696
7950000 946.019
7960000 941.749
7970000 937.26
7980000 939.334
7990000 933.736
8000000 929.906
8010000 927.001
8020000 926.999
8030000 919.704
8040000 918.311
8050000 915.237
8060000 911.958
8070000 909.746
8080000 905.391
8090000 902.066
8100000 900.191
8110000 897.862
8120000 894.645
8130000 890.974
8140000 888.107
8150000 885.165
8160000 883.4
8170000 878.98
8180000 876.522
8190000 869.506
8200000 874.392
8210000 866.754
8220000 863.19
8230000 862.065
8240000 856.55
8250000 854.589
8260000 852.57
8270000 848.38
8280000 845.554
8290000 842.243
8300000 839.538
8310000 839.885
8320000 834.873
8330000 832.715
8340000 829.788
8350000 823.719
8360000 822.445
8370000 817.949
8380000 816.324
8390000 813.194
8400000 809.615
8410000 805.352
8420000 803.109
8430000 798.843
8440000 799.187
8450000 793.701
8460000 791.233
8470000 790.95
8480000 786.258
8490000 784.057
8500000 785.11
8510000 775.937
8520000 776.889
8530000 772.557
8540000 768.131
8550000 764.94
8560000 762.334
8570000 758.976
8580000 757.231
8590000 754.849
8600000 749.395
8610000 747.766
8620000 744.749
8630000 740.037
8640000 738.209
8650000 735.27
8660000 732.316
8670000 728.016
8680000 727.714
8690000 723.322
8700000 719.786
8710000 718.984
8720000 714.619
8730000 710.84
8740000 708.378
8750000 705.235
8760000 702.206
8770000 699.12
8780000 698.341
8790000 695.51
8800000 690.176
8810000 687.273
8820000 683.966
8830000 681.683
8840000 677.676
8850000 675.44
8860000 671.494
8870000 668.122
8880000 667.049
8890000 662.135
8900000 659.221
8910000 657.311
8920000 654.735
8930000 652.501
8940000 646.992
8950000 643.613
8960000 643.069
8970000 640.258
8980000 638.018
8990000 634.318
9000000 630.639
9010000 628.08
9020000 623.834
9030000 620.781
9040000 618.558
9050000 613.942
9060000 614.846
9070000 611.063
9080000 607.675
9090000 604.476
9100000 603.477
9110000 596.264
9120000 594.837
9130000 591.813
9140000 588.456
9150000 584.22
9160000 582.333
9170000 581.024
9180000 577.291
9190000 574.463
9200000 570.498
9210000 568.998
9220000 564.964
9230000 561.716
9240000 557.629
9250000 556.559
9260000 552.08
9270000 549.358
9280000 546.235
9290000 542.705
9300000 538.982
9310000 536.314
9320000 534.95
9330000 530.192
9340000 527.711
9350000 524.888
9360000 520.873
9370000 518.565
9380000 515.667
9390000 514.738
9400000 511.783
9410000 508.718
9420000 503.913
9430000 501.28
9440000 498.447
9450000 494.452
9460000 491.449
9470000 491.049
9480000 486.436
9490000 483.747
9500000 479.961
9510000 477.127
9520000 474.072
9530000 471.238
9540000 468.017
9550000 465.037
9560000 461.75
9570000 459.538
9580000 456.331
9590000 452.646
9600000 450.396
9610000 447.302
9620000 443.951
9630000 440.863
9640000 438.259
9650000 434.92
9660000 432.132
9670000 429.248
9680000 426.137
9690000 422.713
9700000 419.84
9710000 417.567
9720000 413.881
9730000 410.641
9740000 407.55
9750000 405.545
9760000 401.58
9770000 398.652
9780000 395.561
9790000 392.221
9800000 390.051
9810000 387.176
9820000 384.511
9830000 381.127
9840000 378.148
9850000 375.841
9860000 372.169
9870000 369.19
9880000 366.261
9890000 362.86
9900000 360.468
9910000 357.232
9920000 353.858
9930000 351.274
9940000 347.93
9950000 344.914
9960000 342.253
9970000 339.408
9980000 336.908
9990000 333.868
10000000 330.658
10010000 326.73
10020000 323.887
10030000 321.036
10040000 317.919
10050000 315.215
10060000 312.064
10070000 308.941
10080000 305.787
10090000 303.275
10100000 299.159
10110000 300.182
10120000 299.617
10130000 300.077
10140000 300.192
10150000 300.464
10160000 299.741
10170000 300.784
10180000 300.309
10190000 299.52
10200000 300.713
