# Time-averaged data for fix myke1
# TimeStep v_totKe
9580000 6370.36
9590000 6318.93
9600000 6287.51
9610000 6244.32
9620000 6197.54
9630000 6154.43
9640000 6118.08
9650000 6071.47
9660000 6032.55
9670000 5992.29
9680000 5948.86
9690000 5901.06
9700000 5860.95
9710000 5829.22
9720000 5777.77
9730000 5732.53
9740000 5689.39
9750000 5661.4
9760000 5606.04
9770000 5565.17
9780000 5522.01
9790000 5475.4
9800000 5445.1
9810000 5404.96
9820000 5367.76
9830000 5320.52
9840000 5278.93
9850000 5246.73
9860000 5195.47
9870000 5153.87
9880000 5112.99
9890000 5065.52
9900000 5032.12
9910000 4986.95
9920000 4939.85
9930000 4903.78
9940000 4857.09
9950000 4814.99
9960000 4777.83
9970000 4738.12
9980000 4703.22
9990000 4660.78
10000000 4615.97
10010000 4561.14
10020000 4521.45
10030000 4481.66
10040000 4438.14
10050000 4400.39
10060000 4356.4
10070000 4312.8
10080000 4268.78
10090000 4233.71
10100000 4176.25
10110000 4190.52
10120000 4182.64
10130000 4189.07
10140000 4190.67
10150000 4194.47
10160000 4184.38
10170000 4198.93
10180000 4192.31
10190000 4181.29
10200000 4197.95
